Date,Time(ET),Symbol,Side,Action,Qty,Price,Notional,Reason,OrderID
2026-06-08,09:55,TSLL,long,ENTRY,121,13.37,1617.77,ORB long stop12.96 trail0.41,
2026-06-08,09:55,BITO,long,ENTRY,230,8.68,1996.40,ORB long stop8.62 trail0.07,
2026-06-08,10:00,SOXL,short,ENTRY,4,202.23,808.92,ORB short stop212.90 trail10.64,
2026-06-08,10:00,SOXS,long,ENTRY,118,6.04,712.24,ORB long stop5.62 trail0.40,
2026-06-08,10:00,MRVL,short,ENTRY,2,282.12,564.24,ORB short stop292.18 trail10.13,
2026-06-08,10:00,INTC,short,ENTRY,11,106.89,1175.79,ORB short stop110.90 trail4.02,
2026-06-08,10:00,IBIT,long,ENTRY,55,36.11,1986.18,ORB long stop35.85 trail0.25,
2026-06-08,10:40,SOXL,short,EXIT,4,212.40,,trail-stop,
2026-06-08,11:40,BITO,long,EXIT,230,8.68,,trail-stop,
2026-06-08,11:40,IBIT,long,EXIT,55,36.13,,trail-stop,
2026-06-08,15:55,INTC,short,EXIT,-1,109.94,,eod-flatten,
2026-06-08,15:55,MRVL,short,EXIT,-2,291.48,,eod-flatten,
2026-06-08,15:55,SOXS,long,EXIT,7,5.66,,eod-flatten,
2026-06-08,15:55,TSLL,long,EXIT,121,13.845,,eod-flatten,
2026-06-09,09:50,TQQQ,long,ENTRY,25,79.32,1983.00,ORB long stop77.75 trail0.87,
2026-06-09,09:55,TQQQ,long,EXIT,25,78.48,,trail-stop,
2026-06-09,10:00,MRVL,short,ENTRY,2,281.89,563.78,ORB short stop302.15 trail7.70,
2026-06-09,10:00,INTC,short,ENTRY,17,111.57,1896.75,ORB short stop113.99 trail1.87,
2026-06-09,10:15,NOK,short,ENTRY,99,14.10,1395.90,ORB short stop14.61 trail0.32,
2026-06-09,10:25,INTC,short,EXIT,17,110.79,,trail-stop,
2026-06-09,10:50,KEEL,short,ENTRY,83,5.75,477.25,ORB short stop6.36 trail0.21,
2026-06-09,13:05,MRVL,short,EXIT,2,252.08,,trail-stop,
2026-06-09,13:05,NOK,short,EXIT,99,13.50,,trail-stop,
2026-06-09,13:05,KEEL,short,EXIT,83,5.38,,trail-stop,
2026-06-09,14:10,SQQQ,long,ENTRY,13,43.67,567.72,ORB long stop39.93 trail0.82,
2026-06-09,14:35,SQQQ,long,EXIT,13,43.05,,trail-stop,
2026-06-10,09:50,SOXS,short,ENTRY,92,5.73,527.16,ORB short stop6.27 trail0.26,
2026-06-10,09:50,SOXL,long,ENTRY,2,208.25,416.50,ORB long stop190.00 trail8.39,
2026-06-10,09:50,NOK,long,ENTRY,113,14.01,1583.13,ORB long stop13.55 trail0.21,
2026-06-10,09:50,DRAM,long,ENTRY,18,60.42,1087.62,ORB long stop57.77 trail1.35,
2026-06-10,09:55,SOXS,short,EXIT,92,5.99,,trail-stop,
2026-06-10,09:55,SOXL,long,EXIT,2,199.56,,trail-stop,
2026-06-10,09:55,NOK,long,EXIT,113,13.81,,trail-stop,
2026-06-10,10:05,DRAM,long,EXIT,18,59.07,,trail-stop,
2026-06-10,10:25,MRVL,long,ENTRY,5,269.50,1347.50,ORB long stop260.58 trail8.09,
2026-06-10,10:50,MRVL,long,EXIT,5,264.15,,trail-stop,
2026-06-10,11:15,SQQQ,long,ENTRY,35,44.29,1550.00,ORB long stop42.79 trail0.97,
2026-06-10,12:00,SQQQ,long,EXIT,35,43.84,,trail-stop,
2026-06-11,09:50,TQQQ,long,ENTRY,28,71.48,2001.40,ORB long stop70.13 trail1.36,
2026-06-11,09:55,SOXL,long,ENTRY,4,205.63,822.54,ORB long stop193.32 trail8.88,
2026-06-11,09:55,SOXS,short,ENTRY,46,5.61,258.06,ORB short stop6.09 trail0.21,
2026-06-11,10:15,TQQQ,long,EXIT,28,71.62,,trail-stop,
2026-06-11,10:20,SOXL,long,EXIT,4,200.76,,trail-stop,
2026-06-11,11:00,SQQQ,long,ENTRY,44,44.81,1971.64,ORB long stop44.02 trail1.15,
2026-06-11,11:20,SQQQ,long,EXIT,44,43.88,,trail-stop,
2026-06-11,16:00,SOXS,short,EXIT,46,5.26,,trail-stop,
2026-06-12,09:55,CPNG,short,ENTRY,71,16.39,1163.69,ORB short stop17.07 trail0.33,
2026-06-12,10:05,NOK,long,ENTRY,75,14.88,1116.00,ORB long stop14.23 trail0.27,
2026-06-12,10:40,RDW,long,ENTRY,49,16.32,799.68,ORB long stop15.29 trail0.72,
2026-06-12,10:40,SMCI,long,ENTRY,30,31.04,931.21,ORB long stop29.46 trail0.89,
2026-06-12,10:50,NOK,long,EXIT,75,14.71,,trail-stop,
2026-06-12,10:50,RDW,long,EXIT,49,15.67,,trail-stop,
