Date,Symbol,Category,Price,PctChange,Volatility%,Volume
2026-06-08,SOXL,High Volatility,182.08,-30.72,22.23,1637815
2026-06-08,SOXS,High Volatility,6.85,31.48,17.95,23490256
2026-06-08,TSLL,High Volatility,12.69,-13.29,16.86,1331610
2026-06-08,MRVL,Big Mover %,263.46,-16.75,13.12,1913297
2026-06-08,BITO,Most Active,8.21,-5.14,4.97,20852695
2026-06-08,INTC,Mid-Priced,98.97,-11.46,7.59,6672243
2026-06-08,IBIT,Mid-Priced,34.15,-5.17,5.12,6488953
2026-06-09,KEEL,High Volatility,5.65,10.24,10.21,2668706
2026-06-09,MRVL,High Volatility,288.77,9.60,8.15,2374274
2026-06-09,INTC,High Volatility,110.18,11.33,5.29,5120405
2026-06-09,NOK,Most Active,14.60,1.71,4.09,5037603
2026-06-09,SQQQ,Mid-Priced,41.25,-4.49,4.41,1971358
2026-06-09,TQQQ,Mid-Priced,76.28,4.51,4.03,1369863
2026-06-10,SOXS,High Volatility,5.92,4.68,37.21,38202753
2026-06-10,SNDQ,High Volatility,5.85,-0.76,33.42,1360567
2026-06-10,SOXL,High Volatility,201.64,-4.50,32.22,1905655
2026-06-10,MRVL,Big Mover %,266.62,-7.67,19.29,2075439
2026-06-10,TSLL,Big Mover %,13.03,-5.85,16.44,1600722
2026-06-10,NOK,Big Mover %,13.86,-5.04,9.81,10146922
2026-06-10,DRAM,Mid-Priced,59.78,-1.22,12.83,3033644
2026-06-10,SQQQ,Mid-Priced,42.66,3.42,16.90,3023652
2026-06-11,SOXL,High Volatility,180.06,-10.70,18.61,1426858
2026-06-11,SOXS,High Volatility,6.58,11.05,16.84,32243771
2026-06-11,TQQQ,High Volatility,69.33,-5.92,7.94,1202356
2026-06-11,NVD,Big Mover %,5.26,7.45,5.91,3570742
2026-06-11,INTC,Most Active,106.99,-0.96,6.18,6583098
2026-06-11,SQQQ,Mid-Priced,45.25,6.07,7.47,2267972
2026-06-12,RDW,High Volatility,17.09,14.93,17.20,2640053
2026-06-12,SMCI,High Volatility,31.96,9.23,11.68,6826862
2026-06-12,SQQQ,High Volatility,40.76,-9.92,10.27,3617410
2026-06-12,CPNG,Big Mover %,17.27,14.22,9.04,4448968
2026-06-12,NOK,Most Active,14.10,5.38,5.69,7128579
2026-06-15,RKLB,High Volatility,102.42,-10.68,15.10,1241157
2026-06-15,RDW,High Volatility,15.12,-11.53,10.62,1874653
2026-06-15,INTC,High Volatility,124.55,6.48,10.41,5901388
2026-06-15,NVD,Most Active,5.03,-0.30,3.37,7161018
2026-06-15,NOK,Most Active,14.78,4.82,5.82,6631685
2026-06-15,SMCI,Mid-Priced,30.45,-4.72,7.55,3043432
2026-06-15,SQQQ,Mid-Priced,39.98,-1.91,5.32,1157322
2026-06-16,MRVL,High Volatility,308.90,10.44,8.27,1205721
2026-06-16,ONDS,High Volatility,9.52,1.93,5.38,1247134
2026-06-16,ACHR,High Volatility,5.55,9.04,5.24,1273948
2026-06-16,SQQQ,Big Mover %,36.32,-9.15,3.25,1155793
2026-06-16,NOK,Most Active,14.83,0.34,4.31,7686410
2026-06-16,AAL,Most Active,15.46,3.34,4.46,5371410
2026-06-16,SMCI,Mid-Priced,30.86,1.35,4.23,2528089
2026-06-17,SPCX,High Volatility,201.89,4.95,15.16,8274310
2026-06-17,SNAP,High Volatility,5.16,-9.88,14.51,5955081
2026-06-17,KEEL,High Volatility,5.95,5.22,13.90,1435458
2026-06-17,MRVL,Big Mover %,278.55,-9.83,12.81,1657186
2026-06-17,INTC,Big Mover %,117.05,-8.45,9.36,3981697
2026-06-17,NOK,Most Active,13.97,-5.77,7.00,8175638
2026-06-17,NFLX,Mid-Priced,78.74,-3.60,5.13,4399189
2026-06-23,MARA,High Volatility,14.85,4.36,13.19,2863109
2026-06-23,KEEL,High Volatility,6.65,6.06,11.66,1957497
2026-06-23,TSLL,High Volatility,13.45,2.20,10.40,1369347
2026-06-23,NOK,Big Mover %,14.45,7.12,5.38,5735738
2026-06-23,PLTR,Big Mover %,119.46,-6.99,7.63,1366057
2026-06-23,NFLX,Most Active,72.88,-5.75,6.93,6080917
2026-06-24,KEEL,High Volatility,6.58,-0.98,13.41,1417071
2026-06-24,SPCX,High Volatility,156.05,0.97,12.16,5665291
2026-06-24,INTC,High Volatility,132.25,-6.20,7.29,2311489
2026-06-24,DRAM,Big Mover %,69.44,-14.00,6.40,2719278
2026-06-24,SQQQ,Big Mover %,40.59,9.99,4.17,1567276
2026-06-24,NVD,Big Mover %,5.22,8.30,3.13,9636640
2026-06-24,T,Mid-Priced,22.82,3.30,3.51,4577720
2026-06-25,KEEL,High Volatility,6.12,-7.14,14.99,2464813
2026-06-25,RKT,High Volatility,14.72,9.36,10.39,2741948
2026-06-25,ONDS,High Volatility,7.67,-10.13,9.85,1934788
2026-06-25,AAL,Big Mover %,17.43,8.09,6.07,4063195
2026-06-25,BITO,Most Active,8.13,-4.07,4.90,20685705
2026-06-25,NVD,Most Active,5.28,1.15,4.79,12817871
2026-06-25,PFE,Mid-Priced,24.05,-2.71,4.75,4643179
2026-06-25,IBIT,Mid-Priced,33.89,-3.99,4.89,4538807
2026-06-26,WEN,High Volatility,7.33,-6.74,21.43,2342893
2026-06-26,INTC,High Volatility,132.94,0.82,10.90,3363670
2026-06-26,SQQQ,High Volatility,39.60,-2.08,9.41,1286816
2026-06-26,DRAM,Big Mover %,77.08,10.23,7.68,3327599
2026-06-26,AAPL,Big Mover %,275.21,-6.17,5.18,5858472
2026-06-26,BITO,Most Active,8.04,-1.11,4.83,22315947
2026-06-26,NVD,Most Active,5.46,3.31,7.90,10987030
2026-06-26,IBIT,Mid-Priced,33.51,-1.12,5.22,4194056
2026-06-29,WEN,High Volatility,7.80,6.41,13.91,1804156
2026-06-29,KEEL,High Volatility,5.99,2.22,11.21,1472785
2026-06-29,NWL,High Volatility,5.87,-0.51,8.73,1958769
2026-06-29,NOK,Big Mover %,13.00,-6.84,4.63,9644937
2026-06-29,MSFT,Big Mover %,371.67,5.46,5.92,2989666
2026-06-29,NVD,Most Active,5.68,4.12,3.74,10775393
2026-06-29,NFLX,Mid-Priced,73.63,3.82,5.11,4786429
2026-06-29,TQQQ,Mid-Priced,71.60,-4.27,5.42,1107916
2026-06-30,SMCI,High Volatility,28.15,-8.11,11.06,4337353
2026-06-30,CMCSA,High Volatility,24.20,4.58,10.61,7299777
