Date,Symbol,Price,ATR%,AvgDollarVolM,StopATRs,Trend
2026-07-28,SPY,737.20,1.07,1064,1.88,up
2026-07-28,XLF,57.22,1.17,129,1.71,up
2026-07-28,IWM,291.50,1.42,313,1.41,up
2026-07-28,XLI,182.51,1.58,90,1.26,up
2026-07-28,XLV,168.04,1.61,128,1.24,up
2026-07-28,BAC,62.27,1.80,144,1.11,up
2026-07-28,XLE,58.62,1.81,116,1.11,down
2026-07-28,CVX,191.51,1.87,54,1.07,down
2026-07-28,V,365.44,1.93,113,1.04,up
2026-07-28,JPM,355.42,1.93,86,1.03,up
2026-07-28,COST,983.19,1.96,71,1.02,down
2026-07-28,MCD,277.16,2.00,51,1.00,down
2026-07-28,XOM,155.63,2.01,73,1.00,down
2026-07-28,MA,559.12,2.07,83,0.97,up
2026-07-28,QQQ,669.78,2.11,394,0.95,down
2026-07-28,SCHW,105.25,2.12,53,0.94,up
2026-07-28,KO,89.53,2.19,96,0.92,up
2026-07-28,ABBV,266.21,2.21,63,0.90,up
2026-07-28,WFC,87.00,2.21,81,0.90,up
2026-07-28,JNJ,272.80,2.22,97,0.90,up
2026-07-28,WMT,115.23,2.36,107,0.85,down
2026-07-28,AAPL,336.63,2.39,550,0.84,up
2026-07-28,BLK,1082.71,2.43,59,0.82,up
